STATION_ID,STATION_NAME,STATION_X,STATION_Y,target,level,level-target
3006,동하동,126.77732,33.347359999999995,406,2,2&406
3007,동하동,126.77738,33.34746,406,2,2&406
3008,세화3리입구,126.78799,33.333459999999995,407,2,2&407
3009,세화3리입구,126.78815,33.33347,407,2,2&407
3010,삼달1리게이트볼장,126.84345,33.37625,408,2,2&408
3012,상천리,126.38148,33.30731,409,2,2&409
3013,상천리,126.38141,33.307140000000004,409,2,2&409
3014,서귀포보건소,126.55485,33.252340000000004,387,2,2&387
3015,성산기상대관사,126.86922,33.38425,410,2,2&410
3016,성산기상대관사,126.869,33.38413,410,2,2&410
3017,올란이,126.84275,33.34509,411,2,2&411
3018,올란이,126.84266,33.34502,411,2,2&411
3022,석교동,126.34951,33.31033,412,2,2&412
3023,석교동,126.34918,33.31048,412,2,2&412
3027,사계어촌체험어장,126.30442,33.22793,413,2,2&413
3028,사계어촌체험어장,126.30476000000002,33.227940000000004,413,2,2&413
3029,사계용해경로당,126.30849,33.23081,414,2,2&414
3030,사계용해경로당,126.30848,33.23123,414,2,2&414
3031,서귀포칼호텔(종점),126.58078,33.24701,147,2,2&147
3032,강다리,126.88895,33.40578,415,2,2&415
3033,강다리,126.88896,33.40593,415,2,2&415
3034,도린동산,126.76816,33.35824,416,2,2&416
3035,도린동산,126.76827,33.35837,416,2,2&416
3036,제3의귀교,126.71916,33.31241,417,2,2&417
3037,제3의귀교,126.71925,33.31235,417,2,2&417
3038,화순해안경기안전센터사계출장소,126.30018,33.226009999999995,418,2,2&418
3039,신흥교,126.75097,33.31413,419,2,2&419
3040,신흥교,126.75096,33.313959999999994,419,2,2&419
3041,신흥1번지,126.77395,33.30614,400,2,2&400
3043,독벌은이동산,126.68363,33.36885,420,2,2&420
3044,불미터,126.71471,33.31922,421,2,2&421
3045,불미터,126.71482,33.31943,421,2,2&421
3046,새서귀초등학교,126.51297,33.25433,422,2,2&422
3048,대포동,126.43182,33.24301,128,2,2&128
3051,국세공무원교육원생활관,126.51944,33.25556,423,2,2&423
3052,국립기상과학원,126.51789,33.25803,424,2,2&424
3053,서귀포시중앙도서관,126.50769,33.251870000000004,71,2,2&71
3056,국세공무원교육원국토교통부인재개발원,126.51552,33.254490000000004,425,2,2&425
3065,서광동리웃네거리,126.32976,33.294290000000004,426,2,2&426
3068,국세공무원교육원국토교통부인재개발원,126.51553,33.254290000000005,425,2,2&425
3070,삼다체육공원입구,126.51888999999998,33.25158,427,2,2&427
3071,삼다체육공원입구,126.51863,33.25159,427,2,2&427
3076,새서귀초등학교,126.51293,33.25416,422,2,2&422
3080,유승한내들아파트,126.50453,33.25265,428,2,2&428
3081,유승한내들아파트,126.50443,33.25246,428,2,2&428
3082,중흥/골드클래스아파트,126.50203,33.25255,429,2,2&429
3083,중흥/골드클래스아파트,126.50221,33.25274,429,2,2&429
3084,대신중학교,126.505,33.256190000000004,430,2,2&430
3085,대신중학교,126.50581,33.25595,430,2,2&430
3086,상창교차로,126.35886,33.28047,431,2,2&431
3087,상창교차로,126.35917,33.28071,431,2,2&431
3091,수산2리퐁낭거리,126.86168,33.44103,177,2,2&177
3098,삼달1리,126.8437,33.3764,408,2,2&408
3162,고수동입구,126.75706,33.322109999999995,432,2,2&432
3163,고수동입구,126.75664,33.32153,432,2,2&432
3164,돔뱅이왓,126.36945,33.23516,374,2,2&374
3166,보목포구(출발),126.60626,33.23949,149,2,2&149
3167,향기마을,126.79018,33.34386,433,2,2&433
3168,향기마을,126.78971,33.34426,433,2,2&433
3169,별내린전망대,126.41673,33.24719,434,2,2&434
3170,별내린전망대,126.41686,33.24723,434,2,2&434
3171,서광동리웃네거리,126.33048,33.29462,426,2,2&426
3175,국립기상과학원,126.51732,33.25804,424,2,2&424
3176,위미감협,126.66925,33.28107,435,2,2&435
3177,위미감협,126.66905,33.28115,435,2,2&435
3178,국세공무원교육원생활관,126.51915,33.25563,423,2,2&423
3179,활오름,126.4832,33.26119,436,2,2&436
3180,독벌은이동산,126.68389,33.36885,420,2,2&420
3182,삼달2리사무소,126.86784,33.36916,312,2,2&312
3189,모슬포남항여객선터미널(운진항),126.25748,33.21119,437,2,2&437
3190,모슬포남항여객선터미널(운진항),126.25733,33.21097,437,2,2&437
3194,무릉손당호,126.21125,33.27206,438,2,2&438
3195,무릉손당호,126.21127,33.2718,438,2,2&438
3196,선반로입구,126.50509,33.24091,439,2,2&439
3197,위미2리교차로,126.66166,33.27775,440,2,2&440
3198,위미리(위미2리교차로),126.66101,33.27737,440,2,2&440
3199,무릉리(사장동),126.1995,33.26579,441,2,2&441
3200,무릉리(사장동),126.1995,33.2656,441,2,2&441
3201,제주신화월드서머셋,126.31878,33.29997,442,2,2&442
3202,신화역사공원,126.31967,33.305640000000004,443,2,2&443
3205,제주항공우주박물관,126.30124,33.30337,444,2,2&444
3206,제주항공우주박물관,126.30105,33.303470000000004,444,2,2&444
3217,성산청소년수련원,126.84021,33.36164,445,2,2&445
3218,성산청소년수련원,126.84023,33.36144,445,2,2&445
3219,예담요양원,126.81634,33.34235,446,2,2&446
3221,선반로입구,126.50548,33.24138,439,2,2&439
3222,제주항공우주호텔,126.29524,33.30212,447,2,2&447
3223,제주항공우주호텔,126.29528,33.30196,447,2,2&447
3224,노리매,126.28754,33.28119,448,2,2&448
3225,노리매,126.28735,33.28102,448,2,2&448
3226,소인국테마파크,126.32062,33.28965,449,2,2&449
3227,소인국테마파크,126.32056,33.28949,449,2,2&449
3228,세계자동차제주박물관,126.34867,33.28266,450,2,2&450
3229,세계자동차제주박물관,126.34914,33.28218,450,2,2&450
3231,동광단지,126.35966,33.31387,159,2,2&159
3232,토평사거리,126.58521,33.268809999999995,451,2,2&451
3233,토평사거리,126.58559,33.26883,451,2,2&451
3236,제주항공우주박물관,126.30186,33.30186,452,2,2&452
3237,제주항공우주박물관,126.30199,33.30161,452,2,2&452
3285,성읍환승정류장(성읍1리사무소),126.79827,33.38943,453,2,2&453
3286,성읍환승정류장(성읍1리사무소),126.79848,33.38947,453,2,2&453
3287,하례환승정류장(하례리입구),126.6007,33.3,87,2,2&87
3370,풍천초등학교,126.85065,33.34747,454,2,2&454
3371,풍천초등학교,126.85055,33.34731,454,2,2&454
3377,영주산,126.80358,33.39828,455,2,2&455
3378,영주산,126.80371,33.39813,455,2,2&455
3381,유건이오름,126.84021,33.41698,456,2,2&456
3382,유건이오름,126.84042,33.41684,456,2,2&456
3385,서귀포동부도서관,126.60773,33.260670000000005,457,2,2&457
3386,서귀포동부도서관,126.60813,33.26045,457,2,2&457
3387,효돈축구공원,126.61182,33.26071,458,2,2&458
3388,효돈축구공원,126.61122,33.26048,458,2,2&458
3393,제지기오름,126.61105,33.245490000000004,459,2,2&459
3394,제지기오름,126.61114,33.2453,459,2,2&459
3395,쇠소깍하효항입구,126.61723,33.2529,460,2,2&460
3396,쇠소깍하효항입구,126.6172,33.25264,460,2,2&460
3402,하효북문,126.61735,33.26685,461,2,2&461
3403,하효북문,126.61747,33.26697,461,2,2&461
3404,앞동산,126.61379,33.26554,462,2,2&462
3405,앞동산,126.61395,33.26568,462,2,2&462
3406,감귤박물관,126.61075,33.27132,463,2,2&463
3407,감귤박물관,126.61048999999998,33.27172,463,2,2&463
3410,대천동주민센터,126.47794,33.249340000000004,464,2,2&464
3411,대천동주민센터,126.4783,33.249320000000004,464,2,2&464
3414,강정의례회관,126.47956,33.23813,465,2,2&465
3415,강정의례회관,126.47979,33.2381,465,2,2&465
3473,온천동,126.74654,33.31903,198,2,2&198
3474,솜반천,126.55336,33.25321,466,2,2&466
3475,솜반천,126.55351,33.25322,466,2,2&466
3478,흙담솔사가,126.5524,33.25885,467,2,2&467
3479,흙담솔사가,126.55227,33.25871,467,2,2&467
3481,신효웃동네,126.61362,33.26741,468,2,2&468
3482,신효웃동네,126.61388,33.2674,468,2,2&468
3483,보목동동네,126.60597,33.24305,469,2,2&469
3484,보목동동네,126.60648,33.24307,469,2,2&469
3485,위미3리마을회관,126.68907,33.27512,85,2,2&85
3489,남영농장,126.73371000000002,33.31471,470,2,2&470
3490,남영농장,126.73436,33.31497,470,2,2&470
3583,배튼개입구,126.44357,33.24157,471,2,2&471
3584,배튼개입구,126.44324,33.24091,471,2,2&471
3585,동물개동산앞,126.4312,33.240120000000005,472,2,2&472
3586,동물개동산앞,126.43105,33.24013,472,2,2&472
3595,수산1리큰동네,126.87746,33.44883,473,2,2&473
3596,수산1리큰동네,126.87752,33.44873,473,2,2&473
3599,석부작박물관,126.53472,33.249990000000004,474,2,2&474
3600,석부작박물관,126.53526,33.25001,474,2,2&474
3601,외돌개,126.54763,33.241240000000005,48,2,2&48
3604,성읍119지역센터,126.79444,33.38412,475,2,2&475
3605,성읍119지역센터,126.79449,33.38403,475,2,2&475
3606,섯동네,126.79648,33.38485,476,2,2&476
3607,섯동네,126.7966,33.38476,476,2,2&476
3610,국제교회,126.27853,33.28203,477,2,2&477
3611,국제교회,126.27806,33.28296,477,2,2&477
3612,위미중학교,126.66246,33.280570000000004,362,2,2&362
3614,휴애리자연생활공원,126.63287,33.30834,478,2,2&478
3615,휴애리자연생활공원,126.6334,33.30813,478,2,2&478
3620,예래생태체험관,126.3895,33.24426,479,2,2&479
3621,예래생태체험관,126.38933,33.24408,479,2,2&479
3622,진양빌라,126.38733,33.243590000000005,480,2,2&480
3623,진양빌라,126.38737,33.24349,480,2,2&480
3633,제주노인복지타운,126.43887,33.25436,481,2,2&481
3634,제주노인복지타운,126.43907,33.254090000000005,481,2,2&481
3637,정방동문화의집,126.56835,33.24604,482,2,2&482
3638,정방동문화의집,126.56853,33.2461,482,2,2&482
3639,중문동주민센터,126.43323999999998,33.25359,483,2,2&483
3640,중문동주민센터,126.43331,33.25347,483,2,2&483
4051,위미3리,126.68672,33.27531,86,2,2&86
4053,소보리당입구,126.38182,33.26403,4,2,2&4
4066,성읍분투왓,126.78349,33.40206,484,2,2&484
4067,성읍분투왓,126.78366,33.402190000000004,484,2,2&484
4068,블루마운틴커피박물관,126.83752,33.38041,485,2,2&485
4069,블루마운틴커피박물관,126.83703,33.38089,485,2,2&485
4070,해양경찰청제주수련원,126.79051,33.379020000000004,486,2,2&486
4071,감귤유통센터,126.80918,33.33214,487,2,2&487
4072,감귤유통센터,126.80909,33.3323,487,2,2&487
4073,해양경찰청제주수련원,126.79063,33.37892,486,2,2&486
4082,선담밭,126.27655,33.27123,488,2,2&488
4083,선담밭,126.27676,33.27117,488,2,2&488
4084,신화역사공원,126.3189,33.30513,443,2,2&443
4085,제주신화월드테마파크,126.3155,33.30279,489,2,2&489
4086,KIS빌리지,126.27793,33.26933,490,2,2&490
4087,KIS빌리지,126.27809,33.26941,490,2,2&490
4088,제주신화월드테마파크,126.31546000000002,33.30265,489,2,2&489
